theory,quantity_id,quantity,code,prediction,citation_label,citation_doi
GNWT,M1,N of simultaneously competing policies,NO,"Ignition is triggered by a single winning representation crossing threshold; the theory quantifies stimulus strength and attention, not the cardinality of the competing set. No published GNWT prediction indexes access to how many policies compete.",Mashour et al. 2020,10.1016/j.neuron.2020.01.026
GNWT,M2,Degree of incompatibility between policies,NO,"Competition for the workspace is assumed but its degree is not a predictor variable; predictions are stated over visibility/threshold, not over conflict magnitude.",Dehaene et al. 2006,10.1016/j.tics.2006.03.007
GNWT,M3,Valence of conscious content,IMPLICIT,Broadcast is content-neutral by construction: any representation that wins gains global availability. Valence can be a workspace content but is not predicted to shift access thresholds.,Mashour et al. 2020,10.1016/j.neuron.2020.01.026
GNWT,M4,Autonomic / interoceptive channel involvement,NO,The workspace is defined over cortical (fronto-parietal) processors; autonomic effectors are not among the consumer systems whose recruitment is predicted.,Mashour et al. 2020,10.1016/j.neuron.2020.01.026
GNWT,M5,Organism-wide coherence (cortical + autonomic),IMPLICIT,"""Global availability"" is organism-wide in spirit, but the operationalisation is cortical ignition and P3b; no joint cortical-autonomic metric is specified.",Dehaene et al. 2006,10.1016/j.tics.2006.03.007
GNWT,M6,Dimensionality of phenomenal space,NO,No prediction about the dimensionality of experienced content; the theory predicts presence/absence of access.,Mashour et al. 2020,10.1016/j.neuron.2020.01.026
GNWT,M7,Precision of metarepresentation,IMPLICIT,Metacognition is argued to be a needed addition to the workspace rather than a quantity the theory itself predicts.,Shea & Frith 2019,10.1016/j.tics.2019.04.007
GNWT,M8,Cortical signature of access,YES,"Late (~250-400 ms) non-linear ignition of a fronto-parietal network, P3b, sustained prefrontal activity; tested and partly falsified at stimulus offset by the adversarial collaboration.",Cogitate Consortium et al. 2025,10.1038/s41586-025-08888-1
IIT (3.0/4.0),M1,N of simultaneously competing policies,NO,phi is computed on the cause-effect structure of a substrate in a state; the number of competing action policies is not a term in the formalism.,Albantakis et al. 2023,10.1371/journal.pcbi.1011465
IIT (3.0/4.0),M2,Degree of incompatibility between policies,NO,"Exclusion/integration postulates concern partitions of the substrate, not incompatibility of behavioural options.",Albantakis et al. 2023,10.1371/journal.pcbi.1011465
IIT (3.0/4.0),M3,Valence of conscious content,NO,IIT 4.0 explicitly lists affect among candidate properties of experience that are NOT essential — experiences lacking it are held to be conceivable and achievable; valence is therefore excluded from the axioms.,Albantakis et al. 2023,10.1371/journal.pcbi.1011465
IIT (3.0/4.0),M4,Autonomic / interoceptive channel involvement,NO,Substrate is defined by intrinsic cause-effect power; visceral channels have no privileged status.,Albantakis et al. 2023,10.1371/journal.pcbi.1011465
IIT (3.0/4.0),M5,Organism-wide coherence (cortical + autonomic),NO,No organism-wide coherence prediction; the main complex may be a cortical subset.,Albantakis et al. 2023,10.1371/journal.pcbi.1011465
IIT (3.0/4.0),M6,Dimensionality of phenomenal space,YES,"The quality of experience is identified with the structure of distinctions and relations unfolded from the substrate — a formal claim about the geometry, hence dimensionality, of phenomenal space.",Albantakis et al. 2023,10.1371/journal.pcbi.1011465
IIT (3.0/4.0),M7,Precision of metarepresentation,NO,Metacognitive accuracy is not a theoretical quantity; report is not required for phi.,Albantakis et al. 2023,10.1371/journal.pcbi.1011465
